ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
CORAL PRIMARY SCHOOL,20 PASIR RIS ST 51,518902,20 PASIR RIS ST 51,1.367979,103.950803,",",,,,,648200,103.6996377,1.3369298
CORAL SECONDARY SCHOOL,31 PASIR RIS STREET 51,518901,31 PASIR RIS STREET 51,1.367101,103.949261,",",,,,,217567,103.8509822,1.3124843
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,31 JURONG WEST STREET 24,1.351499,103.707576,",",,,,,319252,103.8558675,1.3404649
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,357 TANGLIN ROAD,1.293338,103.817566,",",,,,,739063,103.7782306,1.43072155
CREST SECONDARY SCHOOL,561 Jurong East Street 24,609561,561 Jurong East Street 24,1.343466,103.742462,",",,,,,159561,103.8236493,1.28940155
DA QIAO PRIMARY SCHOOL,8 ANG MO KIO STREET 54,569185,8 ANG MO KIO STREET 54,1.371969,103.85865,",",,,,,389705,103.8818795,1.3184954
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,52 BEDOK RESERVOIR CRESCENT,1.335847,103.921064,",",,,,,609647,103.7364621,1.3364515
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,4800 BEDOK RESERVOIR ROAD,1.336405,103.927061,",",,,,,649410,103.7232261,1.3482378
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441,35 BUKIT BATOK STREET 31,1.359,103.748528,",",,,,,828848,103.9127245,1.39620005
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52,689285,11 Choa Chu Kang St 52,1.39478,103.743517,",",,,,,677744,103.7679832,1.3856276
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277,1 ANG MO KIO STREET 42,1.365893,103.852329,",",,,,,828866,103.9115897,1.39768765
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2,659204,21 BUKIT BATOK WEST AVENUE 2,1.363886,103.74518,",",,,,,679938,103.7724629,1.3803379
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD,436895,10 TANJONG RHU ROAD,1.29836,103.882979,",",,,,,579807,103.8499258,1.34460875
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45,529093,21 TAMPINES STREET 45,1.360673,103.956206,",",,,,,518969,103.9631139,1.36927135
EAST COAST PRIMARY SCHOOL,8 CHAI CHEE LANE,469031,8 CHAI CHEE LANE,1.329372,103.919612,",",,,,,737942,103.804772,1.43993565
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,31 TAMPINES ST 33,1.35349,103.961799,",",,,,,529366,103.9516516,1.34878235
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,30 TAMPINES STREET 34,1.355997,103.960586,",",,,,,579806,103.8493097,1.345753
EAST VIEW PRIMARY SCHOOL,4 TAMPINES STREET 91,528907,4 TAMPINES STREET 91,1.346797,103.939585,",",,,,,427072,103.902673,1.31173415
EAST VIEW SECONDARY SCHOOL,3 TAMPINES STREET 42,529177,3 TAMPINES STREET 42,1.357878,103.949913,",",,,,,159544,103.8197259,1.2843565
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,41 EDGEFIELD PLAINS,1.399887,103.907469,",",,,,,278790,103.7843067,1.3173801
EDGEFIELD SECONDARY SCHOOL,36 Punggol Field,828814,36 Punggol Field,1.399882,103.902302,",",,,,,534786,103.8957402,1.3716598
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,11 PASIR RIS STREET 52,1.374697,103.945633,",",,,,,536451,103.8938822,1.36708755
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link,757521,10 Admiralty Link,1.454201,103.817423,",",,,,,659203,103.7435257,1.36313835
EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,95 JALAN EUNOS,1.324223,103.904727,",",,,,,327829,103.8575653,1.3217234
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,31 WOODLANDS CIRCLE,36.003119,-84.916085,",",,,,,768515,103.8283965,1.4270555
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,11 WOODLANDS STREET 83,1.441283,103.794011,",",,,,,534238,103.8810125,1.37764085
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,100 DOVER ROAD,40.75023,-81.836976,",",,,,,649371,103.7216252,1.3520885
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 Dover Road,139649,102 Dover Road,40.750255,-81.83701,",",,,,,528933,103.9335104,1.3531182
FAJAR SECONDARY SCHOOL,31 GANGSA ROAD,678972,31 GANGSA ROAD,1.375887,103.764493,",",,,,,768857,103.8442643,1.42686205
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567,2 FARRER PARK ROAD,1.312139,103.850992,",",,,,,737902,103.788303,1.43015655
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD,469680,307 BEDOK NORTH ROAD,1.329819,103.931902,",",,,,,649809,103.713777,1.35135825
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane,797701,1 Fernvale Lane,1.389948,103.873919,",",,,,,569228,103.8520152,1.3722578
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH,319252,7 LORONG 8 TOA PAYOH,1.340145,103.855651,",",,,,,618652,103.7239742,1.33030995
FIRST TOA PAYOH SECONDARY SCHOOL,580 TOA PAYOH EAST,319133,580 TOA PAYOH EAST,1.333187,103.85864,",",,,,,649037,103.6881849,1.3395511
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61,648200,20 Jurong West Street 61,1.336581,103.699087,",",,,,,269734,103.8019394,1.3261037
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,23 WOODLANDS AVENUE 1,1.4302,103.778088,",",,,,,127368,103.7651289,1.3011517
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062,21 WOODLANDS AVENUE 1,1.430948,103.777326,",",,,,,319580,103.8474413,1.33703365
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,65 JURONG EAST STREET 13,1.336524,103.736118,",",,,,,399772,103.8890361,1.311858
